id,source_platform,severity,title,source_url,layer,label,root_cause,attack_path,files_changed,fix_commit
lighthouse:networking:PR#9106,lighthouse,Unrated,Fix total_effective_balance=0 in `PreEpochCache`,https://github.com/sigp/lighthouse/pull/9106,consensus,beacon-chain:effective-balance-updates,consensus_divergence,crafted_state,"[""consensus/state_processing/src/epoch_cache.rs""]",342e6f77399e450b5f7ab6d708587a6a691fba10
lodestar:scope-networking:PR#3045,lodestar,Unrated,Guard against unsafe numbers,https://github.com/ChainSafe/lodestar/pull/3045,consensus,beacon-chain:effective-balance-updates,consensus_divergence,crafted_state,"[""packages/beacon-state-transition/src/allForks/util/epochContext.ts"", ""packages/beacon-state-transition/src/allForks/util/epochProcess.ts""]",8d6b66630f14a670f80f0ba0a7582275d67713e3
61bd664022518ead,prysm,Info,Add justifications to gosec security finding suppression. #10005,https://github.com/OffchainLabs/prysm/releases/tag/v2.0.5,consensus,beacon-chain:justification-and-finality,crypto_misuse,malformed_input,"[""crypto/keystore/keystore.go""]",d2a3554082bb063cd32f6c849b3485042a487095
7482623489bc990c,lodestar,High,feat: eip-8025 optional execution proofs,https://github.com/ChainSafe/lodestar/pull/8918,consensus,beacon-chain:justification-and-finality,missing_input_validation,malicious_p2p_message,"["".wordlist.txt"", ""packages/api/src/beacon/routes/beacon/pool.ts"", ""packages/api/test/unit/beacon/testData/beacon.ts"", ""packages/beacon-node/src/api/impl/beacon/pool/index.ts"", ""packages/beacon-node/src/chain/chain.ts"", ""packages/beacon-node/src/chain/interface.ts"", ""packages/beacon-node/src/chain/opPools/executionProofPool.ts"", ""packages/beacon-node/src/chain/opPools/index.ts"", ""packages/beacon-node/src/chain/options.ts"", ""packages/beacon-node/src/network/core/networkCore.ts"", ""packages/beacon-node/src/network/gossip/gossipsub.ts"", ""packages/beacon-node/src/network/gossip/interface.ts"", ""packages/beacon-node/src/network/gossip/scoringParameters.ts"", ""packages/beacon-node/src/network/gossip/topic.ts"", ""packages/beacon-node/src/network/interface.ts"", ""packages/beacon-node/src/network/metadata.ts"", ""packages/beacon-node/src/network/network.ts"", ""packages/beacon-node/src/network/options.ts"", ""packages/beacon-node/src/network/processor/gossipHandlers.ts"", ""packages/beacon-node/src/network/processor/gossipQueues/index.ts"", ""packages/beacon-node/src/network/processor/index.ts"", ""packages/beacon-node/src/network/reqresp/ReqRespBeaconNode.ts"", ""packages/beacon-node/src/network/reqresp/handlers/index.ts"", ""packages/beacon-node/src/network/reqresp/protocols.ts"", ""packages/beacon-node/src/network/reqresp/rateLimit.ts"", ""packages/beacon-node/src/network/reqresp/types.ts"", ""packages/beacon-node/test/unit/chain/opPools/executionProofPool.test.ts"", ""packages/beacon-node/test/unit/network/gossip/topic.test.ts"", ""packages/cli/src/cmds/beacon/handler.ts"", ""packages/cli/src/options/beaconNodeOptions/chain.ts"", ""packages/params/src/index.ts"", ""packages/types/src/eip8025/index.ts"", ""packages/types/src/eip8025/sszTypes.ts"", ""packages/types/src/eip8025/types.ts"", ""packages/types/src/sszTypes.ts"", ""packages/types/src/types.ts"", ""scripts/dummy-prover.mjs"", ""scripts/eip8025-devnet/README.md"", ""scripts/eip8025-devnet/network_params.yaml"", ""scripts/eip8025-devnet/start-devnet.sh""]",bf0279c99bd536faadaba410444fbfc0bba47980
d399911713d80bc4,lighthouse,Info,This section will be updated with security advisories as they are made public. We are not disclosing the complete security content of this release in order to give users time to upgrade.,https://github.com/sigp/lighthouse/releases/tag/v8.2.0,consensus,beacon-chain:justification-and-finality,consensus_divergence,malformed_input,"[""beacon_node/beacon_chain/tests/unrealized_checkpoints.rs""]",380e27157de2a8593205dacfb45a107b6b9b1ef3
de9fc22bd42f2765,prysm,Info,"Fix Discovery Panic (#6261) ([9d8420b](https://github.com/prysmaticlabs/prysm/commit/9d8420b)), closes [#6261](https://github.com/prysmaticlabs/prysm/issues/6261)",https://github.com/OffchainLabs/prysm/releases/tag/v1.0.0-alpha.12,consensus,beacon-chain:justification-and-finality,missing_input_validation,malformed_input,"[""deps.bzl"", ""go.mod""]",9d8420b
lighthouse:networking:PR#4576,lighthouse,Unrated,Fix deadlock in finalization migration,https://github.com/sigp/lighthouse/pull/4576,consensus,beacon-chain:justification-and-finality,race_condition,crafted_state,"[""beacon_node/beacon_chain/src/migrate.rs""]",63ac09d0718fe0f839c83d8976c991c99eb9dd51
nimbus:consensus:PR#3232,nimbus,Unrated,REST JSON support improvements,https://github.com/status-im/nimbus-eth2/pull/3232,consensus,beacon-chain:justification-and-finality,integer_overflow_underflow,crafted_state,"[""beacon_chain/beacon_chain_db_immutable.nim"", ""beacon_chain/nimbus_beacon_node.nim"", ""beacon_chain/rpc/rest_beacon_api.nim"", ""beacon_chain/rpc/rest_config_api.nim"", ""beacon_chain/rpc/rest_debug_api.nim"", ""beacon_chain/rpc/rest_event_api.nim"", ""beacon_chain/rpc/rest_nimbus_api.nim"", ""beacon_chain/rpc/rest_node_api.nim"", ""beacon_chain/rpc/rest_validator_api.nim"", ""beacon_chain/spec/datatypes/altair.nim"", ""beacon_chain/spec/datatypes/base.nim"", ""beacon_chain/spec/datatypes/merge.nim"", ""beacon_chain/spec/datatypes/phase0.nim"", ""beacon_chain/spec/eth2_apis/eth2_json_rpc_serialization.nim"", ""beacon_chain/spec/eth2_apis/eth2_rest_serialization.nim"", ""beacon_chain/spec/eth2_apis/rest_beacon_calls.nim"", ""beacon_chain/spec/eth2_apis/rest_debug_calls.nim"", ""beacon_chain/spec/eth2_apis/rest_types.nim"", ""beacon_chain/spec/forks.nim"", ""beacon_chain/spec/ssz_codec.nim"", ""beacon_chain/spec/state_transition_epoch.nim"", ""ncli/ncli_db.nim"", ""tests/spec_epoch_processing/test_process_justification_and_finalization.nim"", ""tests/test_forks.nim""]",a9fbfdd3590029f6c9d6c56dae28436975274ceb
nimbus:consensus:PR#461,nimbus,Unrated,Fix an overflow in the justification bits processing,https://github.com/status-im/nimbus-eth2/pull/461,consensus,beacon-chain:justification-and-finality,integer_overflow_underflow,crafted_state,"[""beacon_chain/spec/state_transition_epoch.nim"", ""beacon_chain/ssz/bytes_reader.nim"", ""beacon_chain/state_transition.nim""]",0b921e812ad06f169e9c725d488594bc12c6b069
105ea9d5165974f2,prysm,Info,"Fix race condition issues in beacon state (#6322) ([d454523](https://github.com/prysmaticlabs/prysm/commit/d454523)), closes [#6322](https://github.com/prysmaticlabs/prysm/issues/6322)",https://github.com/OffchainLabs/prysm/releases/tag/v1.0.0-alpha.13,consensus,beacon-chain:slashing,race_condition,crafted_state,"[""beacon-chain/state/field_trie.go"", ""beacon-chain/state/setters.go"", ""beacon-chain/state/state_trie.go"", ""beacon-chain/state/types.go""]",d454523
